
; UV and texture definitions for all shop items. 

; UV are optional order is [left, top, right, bottom].
; RGBA is optional too. 

; If you use optional components, all optional components before them must be included!


; ID    Filename    UVs                    RGBA            Border
;-----------------------------------------------------------------------------

; Barber shop #1 available haircuts.

HEAD    shop_barber 0.0,  0.0,  0.25, 0.25 255 255 255 255 FALSE
TASH    shop_barber 0.25, 0.0,  0.5,  0.25
GOATEE  shop_barber 0.5,  0.0,  0.75, 0.25
BEARD   shop_barber 0.75, 0.0,  1.0,  0.25
AFRO    shop_barber 0.0,  0.25, 0.25, 0.5 
AFROT   shop_barber 0.25, 0.25, 0.5,  0.5 
AFROGOT shop_barber 0.5,  0.25, 0.75, 0.5 
AFROB   shop_barber 0.75, 0.25, 1.0,  0.5 
AFROFL  shop_barber 0.0,  0.5,  0.25, 0.75
JHERI   shop_barber 0.25, 0.5,  0.5,  0.75
CORNROW shop_barber 0.5,  0.5,  0.75, 0.75
HIGHFAD shop_barber 0.75, 0.5,  1.0,  0.75

; Barber shop #2 available haircuts.

REDHAIR shop_barber  0.0,  0.75,  0.25, 1.0
BLUHAIR shop_barber  0.25, 0.75,  0.5,  1.0
GRNHAIR shop_barber  0.5,  0.75,  0.75, 1.0
BALD    shop_barber2 0.0,  0.0,   0.25, 0.25
BALDTSH shop_barber2 0.25, 0.0,   0.5,  0.25 
BALDGOT shop_barber2 0.5,  0.0,   0.75, 0.25 
BLADBEA shop_barber2 0.75, 0.0,   1.0,  0.25 
SLOPE   shop_barber2 0.0,  0.25,  0.25, 0.5 
MOHAKBE shop_barber2 0.25, 0.25,  0.5,  0.5
ELVISHA shop_barber  0.75, 0.75,  1.0,  1.0

; Barber shop #3 available haircuts.

BLHAIR  shop_barber2   0.5,  0.5,  0.75, 0.75
PNKHAIR shop_barber2   0.25, 0.5,  0.5,  0.75
AFROBL  shop_barber2   0.75, 0.5,  1.0,  0.75
CORNRO2 shop_barber2   0.0,  0.75, 0.25, 1.0
AFROHI  shop_barber2   0.25, 0.75, 0.5,  1.0 
WEDGE   shop_barber2   0.5,  0.75, 0.75, 1.0 
TRAMLIN shop_barber2   0.75, 0.75, 1.0,  1.0 
GROOVE  shop_bodyparts 0.25, 0.75, 0.5,  1.0 
MOHAWK  shop_barber2   0.0,  0.5,  0.25, 0.75
MOHAWKB shop_barber2   0.5,  0.25, 0.75, 0.5
MOHAWKP shop_barber2   0.75, 0.25, 1.0,  0.5


; Tattoo body part locations.

LARMTP shop_bodyparts 0.25, 0.0,  0.0,  0.25
LARMLW shop_bodyparts 0.5,  0.0,  0.25, 0.25
RARMTP shop_bodyparts 0.0,  0.0,  0.25, 0.25
RARMLW shop_bodyparts 0.25, 0.0,  0.5,  0.25
BACK   shop_bodyparts 0.0,  0.25, 0.25, 0.5 
LCHEST shop_bodyparts 0.75, 0.0,  0.5,  0.25 
RCHEST shop_bodyparts 0.5,  0.0,  0.75, 0.25 
BELLY  shop_bodyparts 0.75, 0.0,  1.0,  0.25 
LBACK  shop_bodyparts 0.25, 0.25, 0.5,  0.5
  
; Available tattoos.
  
4RIP     4rip     0.0,  0.0,  1.0,  1.0
